age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,last_contact_day
43.0,services,d,secondary,no,130.0,yes,no,unknown,193.0,1.0,-1.0,0.0,unknown,127.0
56.0,admin.,d,secondary,no,3869.0,no,no,cellular,79.0,1.0,-1.0,0.0,unknown,27.0
43.0,management,d,tertiary,no,0.0,yes,no,cellular,111.0,1.0,-1.0,0.0,unknown,201.0
35.0,blue-collar,m,primary,no,108.0,yes,no,unknown,200.0,4.0,-1.0,0.0,unknown,128.0
25.0,blue-collar,s,secondary,no,0.0,yes,no,unknown,30.0,2.0,-1.0,0.0,unknown,127.0
54.0,services,m,secondary,no,131.0,no,no,cellular,252.0,2.0,-1.0,0.0,unknown,225.0
31.0,technician,s,secondary,no,2088.0,no,no,cellular,15.0,14.0,-1.0,0.0,unknown,39.0
34.0,services,d,secondary,no,797.0,yes,no,cellular,54.0,1.0,-1.0,0.0,unknown,197.0
38.0,technician,m,secondary,no,4741.0,yes,no,unknown,221.0,10.0,-1.0,0.0,unknown,159.0
29.0,student,s,secondary,no,872.0,yes,no,unknown,230.0,1.0,-1.0,0.0,unknown,126.0
32.0,services,m,secondary,no,-124.0,no,no,unknown,116.0,1.0,-1.0,0.0,unknown,146.0
41.0,services,d,primary,no,308.0,no,no,cellular,73.0,1.0,-1.0,0.0,unknown,211.0
44.0,technician,s,tertiary,no,342.0,yes,no,cellular,70.0,1.0,-1.0,0.0,unknown,202.0
48.0,blue-collar,d,secondary,yes,296.0,no,yes,unknown,144.0,4.0,-1.0,0.0,unknown,166.0
48.0,technician,s,secondary,no,9131.0,yes,no,unknown,902.0,5.0,-1.0,0.0,unknown,133.0
33.0,technician,m,secondary,no,806.0,no,no,cellular,108.0,1.0,-1.0,0.0,unknown,106.0
34.0,housemaid,m,secondary,no,4.0,yes,no,cellular,81.0,2.0,-1.0,0.0,unknown,127.0
50.0,management,d,tertiary,no,738.0,yes,yes,unknown,68.0,1.0,-1.0,0.0,unknown,148.0
33.0,technician,s,secondary,no,287.0,yes,no,cellular,97.0,1.0,358.0,8.0,failure,133.0
30.0,entrepreneur,m,secondary,no,392.0,yes,no,cellular,124.0,1.0,167.0,3.0,failure,125.0
41.0,services,m,secondary,no,1319.0,yes,no,cellular,305.0,1.0,-1.0,0.0,unknown,130.0
31.0,self-employed,m,secondary,no,581.0,yes,no,cellular,845.0,1.0,152.0,6.0,failure,285.0
57.0,services,m,secondary,no,1556.0,yes,no,cellular,340.0,1.0,-1.0,0.0,unknown,323.0
30.0,blue-collar,d,primary,no,511.0,yes,no,cellular,157.0,3.0,-1.0,0.0,unknown,323.0
44.0,management,m,tertiary,no,0.0,yes,yes,cellular,54.0,1.0,-1.0,0.0,unknown,321.0
60.0,technician,m,primary,no,65.0,yes,no,unknown,1028.0,2.0,-1.0,0.0,unknown,128.0
34.0,management,s,secondary,no,0.0,no,no,cellular,132.0,4.0,-1.0,0.0,unknown,233.0
26.0,technician,m,tertiary,no,8.0,yes,yes,unknown,262.0,2.0,-1.0,0.0,unknown,132.0
37.0,management,s,tertiary,no,688.0,no,no,cellular,95.0,3.0,174.0,5.0,failure,229.0
30.0,admin.,s,secondary,no,330.0,no,yes,cellular,115.0,5.0,-1.0,0.0,unknown,210.0
30.0,blue-collar,s,secondary,no,214.0,yes,no,cellular,364.0,1.0,-1.0,0.0,unknown,189.0
32.0,management,s,tertiary,no,0.0,no,no,cellular,360.0,2.0,-1.0,0.0,unknown,233.0
50.0,blue-collar,m,secondary,no,-160.0,yes,no,unknown,600.0,2.0,-1.0,0.0,unknown,147.0
32.0,services,d,secondary,no,41.0,yes,no,cellular,251.0,4.0,187.0,11.0,other,33.0
51.0,technician,m,secondary,no,180.0,yes,no,cellular,154.0,2.0,-1.0,0.0,unknown,231.0
38.0,admin.,m,secondary,no,1116.0,yes,yes,unknown,406.0,2.0,-1.0,0.0,unknown,166.0
40.0,services,s,secondary,no,65.0,yes,no,cellular,15.0,3.0,-1.0,0.0,unknown,134.0
54.0,unemployed,m,tertiary,no,6590.0,no,no,cellular,160.0,4.0,-1.0,0.0,unknown,172.0
23.0,blue-collar,m,primary,no,-213.0,no,no,unknown,165.0,2.0,-1.0,0.0,unknown,132.0
41.0,technician,s,secondary,no,297.0,no,yes,cellular,140.0,2.0,-1.0,0.0,unknown,223.0
45.0,management,s,secondary,no,451.0,yes,no,cellular,142.0,2.0,-1.0,0.0,unknown,230.0
36.0,blue-collar,s,primary,no,79.0,no,no,unknown,9.0,3.0,-1.0,0.0,unknown,170.0
66.0,retired,d,unknown,no,53.0,no,no,cellular,562.0,4.0,-1.0,0.0,unknown,192.0
51.0,management,m,unknown,no,914.0,yes,no,cellular,176.0,2.0,341.0,3.0,failure,124.0
33.0,self-employed,d,secondary,no,969.0,yes,no,unknown,166.0,2.0,-1.0,0.0,unknown,167.0
43.0,management,m,tertiary,no,4016.0,yes,no,cellular,159.0,2.0,-1.0,0.0,unknown,225.0
55.0,housemaid,m,secondary,no,962.0,yes,no,cellular,623.0,1.0,181.0,3.0,success,117.0
44.0,management,m,tertiary,no,4968.0,yes,no,cellular,76.0,14.0,-1.0,0.0,unknown,210.0
47.0,services,m,secondary,no,600.0,yes,yes,cellular,8.0,8.0,-1.0,0.0,unknown,131.0
35.0,self-employed,m,secondary,no,573.0,yes,yes,cellular,140.0,8.0,-1.0,0.0,unknown,233.0
52.0,blue-collar,m,primary,no,-63.0,yes,no,unknown,560.0,4.0,-1.0,0.0,unknown,145.0
51.0,housemaid,m,secondary,no,1270.0,no,no,cellular,208.0,3.0,-1.0,0.0,unknown,28.0
41.0,services,m,secondary,no,4283.0,yes,no,unknown,112.0,1.0,-1.0,0.0,unknown,162.0
42.0,management,m,tertiary,no,5.0,no,no,cellular,1067.0,2.0,-1.0,0.0,unknown,324.0
56.0,management,m,secondary,no,238.0,yes,no,cellular,808.0,1.0,-1.0,0.0,unknown,322.0
43.0,management,s,tertiary,no,0.0,no,no,cellular,331.0,2.0,-1.0,0.0,unknown,239.0
53.0,services,m,secondary,no,1.0,no,no,cellular,120.0,10.0,-1.0,0.0,unknown,233.0
53.0,blue-collar,d,secondary,no,145.0,yes,no,unknown,193.0,1.0,-1.0,0.0,unknown,127.0
47.0,technician,m,secondary,no,677.0,no,no,cellular,131.0,8.0,-1.0,0.0,unknown,231.0
33.0,technician,s,tertiary,no,6281.0,yes,no,cellular,1057.0,1.0,393.0,4.0,success,181.0
28.0,technician,s,secondary,no,6551.0,no,no,cellular,362.0,1.0,77.0,1.0,failure,145.0
60.0,technician,m,secondary,no,294.0,no,no,telephone,104.0,5.0,198.0,4.0,success,351.0
53.0,blue-collar,m,secondary,no,-8.0,no,no,cellular,794.0,1.0,-1.0,0.0,unknown,216.0
45.0,admin.,m,secondary,yes,-571.0,no,no,cellular,332.0,2.0,-1.0,0.0,unknown,224.0
61.0,technician,d,secondary,no,6481.0,no,no,cellular,131.0,1.0,-1.0,0.0,unknown,291.0
47.0,technician,s,secondary,no,600.0,no,yes,cellular,173.0,2.0,-1.0,0.0,unknown,215.0
26.0,admin.,s,secondary,no,321.0,yes,no,cellular,242.0,7.0,-1.0,0.0,unknown,202.0
37.0,self-employed,m,secondary,no,4153.0,yes,no,cellular,35.0,16.0,-1.0,0.0,unknown,211.0
35.0,services,d,primary,no,55.0,no,no,cellular,165.0,4.0,-1.0,0.0,unknown,323.0
38.0,management,m,tertiary,no,2724.0,yes,no,unknown,177.0,4.0,-1.0,0.0,unknown,135.0
34.0,technician,m,tertiary,no,0.0,yes,no,unknown,185.0,12.0,-1.0,0.0,unknown,139.0
46.0,technician,m,secondary,no,1.0,no,yes,cellular,200.0,1.0,-1.0,0.0,unknown,323.0
37.0,unemployed,m,secondary,no,4769.0,no,no,cellular,124.0,1.0,-1.0,0.0,unknown,28.0
37.0,admin.,s,tertiary,no,0.0,yes,no,cellular,342.0,2.0,-1.0,0.0,unknown,124.0
32.0,blue-collar,s,secondary,no,-578.0,no,no,unknown,115.0,1.0,-1.0,0.0,unknown,128.0
36.0,services,m,secondary,no,138.0,yes,no,cellular,39.0,3.0,-1.0,0.0,unknown,127.0
46.0,blue-collar,m,primary,no,-175.0,yes,yes,cellular,250.0,1.0,324.0,2.0,failure,106.0
25.0,management,s,tertiary,no,3902.0,no,no,cellular,856.0,1.0,-1.0,0.0,unknown,265.0
41.0,technician,m,secondary,no,240.0,no,no,cellular,290.0,2.0,-1.0,0.0,unknown,230.0
38.0,blue-collar,m,unknown,no,0.0,yes,no,cellular,477.0,2.0,267.0,1.0,failure,91.0
49.0,admin.,s,secondary,no,4509.0,no,no,unknown,42.0,2.0,-1.0,0.0,unknown,156.0
33.0,technician,s,tertiary,no,436.0,no,no,cellular,258.0,8.0,-1.0,0.0,unknown,239.0
46.0,admin.,m,secondary,no,0.0,no,no,cellular,109.0,1.0,-1.0,0.0,unknown,216.0
35.0,technician,s,primary,no,744.0,yes,no,cellular,1096.0,1.0,-1.0,0.0,unknown,96.0
40.0,blue-collar,m,secondary,no,0.0,yes,yes,unknown,245.0,3.0,-1.0,0.0,unknown,148.0
38.0,services,m,tertiary,no,0.0,yes,no,cellular,239.0,1.0,147.0,4.0,failure,106.0
31.0,student,s,tertiary,no,117.0,yes,no,telephone,41.0,1.0,-1.0,0.0,unknown,198.0
45.0,management,m,tertiary,no,-642.0,no,no,cellular,124.0,4.0,-1.0,0.0,unknown,216.0
38.0,technician,m,tertiary,no,-363.0,no,no,cellular,101.0,2.0,-1.0,0.0,unknown,237.0
36.0,management,m,tertiary,no,1014.0,yes,no,unknown,34.0,2.0,-1.0,0.0,unknown,154.0
28.0,blue-collar,s,secondary,no,-337.0,no,yes,cellular,284.0,1.0,-1.0,0.0,unknown,203.0
26.0,technician,m,secondary,no,523.0,no,no,cellular,221.0,1.0,126.0,1.0,failure,154.0
41.0,technician,m,secondary,no,3432.0,no,no,cellular,140.0,3.0,-1.0,0.0,unknown,217.0
41.0,blue-collar,m,primary,no,-7.0,yes,no,cellular,104.0,2.0,365.0,2.0,failure,125.0
23.0,blue-collar,m,primary,no,531.0,yes,no,cellular,509.0,3.0,345.0,9.0,other,134.0
31.0,services,m,secondary,no,338.0,yes,no,cellular,155.0,1.0,-1.0,0.0,unknown,27.0
38.0,admin.,d,secondary,no,382.0,yes,no,cellular,397.0,1.0,-1.0,0.0,unknown,106.0
51.0,blue-collar,m,primary,no,-637.0,yes,yes,cellular,233.0,2.0,-1.0,0.0,unknown,322.0
39.0,technician,d,secondary,no,902.0,yes,no,cellular,691.0,2.0,180.0,5.0,failure,40.0
35.0,self-employed,m,secondary,no,3329.0,no,no,cellular,166.0,1.0,-1.0,0.0,unknown,321.0
44.0,management,m,tertiary,no,1383.0,no,no,cellular,243.0,12.0,-1.0,0.0,unknown,233.0
30.0,technician,s,secondary,no,276.0,no,yes,cellular,159.0,5.0,-1.0,0.0,unknown,236.0
58.0,services,d,secondary,no,796.0,no,no,cellular,102.0,7.0,-1.0,0.0,unknown,229.0
38.0,management,m,tertiary,no,0.0,yes,no,telephone,136.0,1.0,-1.0,0.0,unknown,345.0
33.0,management,m,tertiary,no,1778.0,no,no,cellular,388.0,1.0,-1.0,0.0,unknown,42.0
27.0,management,s,tertiary,no,831.0,no,no,cellular,1081.0,2.0,-1.0,0.0,unknown,88.0
34.0,admin.,m,tertiary,no,37.0,no,no,cellular,45.0,1.0,-1.0,0.0,unknown,36.0
49.0,blue-collar,m,secondary,no,-202.0,yes,yes,cellular,608.0,2.0,170.0,5.0,failure,127.0
37.0,blue-collar,m,primary,no,-29.0,yes,yes,cellular,25.0,1.0,350.0,5.0,other,134.0
41.0,blue-collar,m,secondary,no,1011.0,yes,no,cellular,113.0,1.0,174.0,4.0,other,322.0
43.0,admin.,s,secondary,no,277.0,yes,no,cellular,315.0,2.0,363.0,1.0,failure,131.0
45.0,technician,s,secondary,no,11.0,no,no,cellular,247.0,1.0,-1.0,0.0,unknown,233.0
64.0,retired,m,tertiary,no,2139.0,no,no,cellular,632.0,2.0,-1.0,0.0,unknown,286.0
58.0,self-employed,d,tertiary,no,3.0,yes,yes,unknown,129.0,4.0,-1.0,0.0,unknown,152.0
38.0,entrepreneur,m,tertiary,no,0.0,yes,no,cellular,185.0,3.0,-1.0,0.0,unknown,321.0
60.0,management,m,tertiary,yes,-311.0,no,no,cellular,151.0,6.0,-1.0,0.0,unknown,236.0
58.0,retired,d,secondary,no,439.0,no,yes,cellular,48.0,2.0,-1.0,0.0,unknown,190.0
47.0,blue-collar,m,secondary,no,-346.0,yes,yes,telephone,137.0,2.0,253.0,2.0,other,33.0
48.0,blue-collar,m,secondary,no,1405.0,yes,no,unknown,629.0,2.0,-1.0,0.0,unknown,133.0
35.0,blue-collar,m,secondary,no,0.0,yes,yes,cellular,250.0,1.0,-1.0,0.0,unknown,204.0
32.0,student,s,tertiary,no,61.0,yes,no,cellular,130.0,3.0,-1.0,0.0,unknown,131.0
43.0,unemployed,m,secondary,no,0.0,yes,yes,cellular,183.0,2.0,184.0,13.0,failure,265.0
58.0,retired,m,secondary,no,166.0,no,yes,unknown,211.0,1.0,-1.0,0.0,unknown,183.0
23.0,services,m,secondary,no,0.0,yes,yes,unknown,90.0,5.0,-1.0,0.0,unknown,145.0
31.0,management,s,tertiary,no,153.0,no,no,cellular,65.0,3.0,-1.0,0.0,unknown,39.0
39.0,technician,m,tertiary,no,-1099.0,yes,no,cellular,56.0,9.0,-1.0,0.0,unknown,210.0
53.0,retired,m,secondary,no,1296.0,yes,no,unknown,115.0,1.0,-1.0,0.0,unknown,167.0
62.0,retired,d,tertiary,no,0.0,no,no,cellular,227.0,2.0,-1.0,0.0,unknown,316.0
44.0,technician,m,secondary,no,0.0,yes,no,unknown,225.0,2.0,-1.0,0.0,unknown,124.0
58.0,technician,m,secondary,no,4717.0,yes,no,cellular,135.0,1.0,-1.0,0.0,unknown,322.0
26.0,management,m,tertiary,no,784.0,yes,yes,cellular,247.0,2.0,358.0,2.0,failure,124.0
37.0,blue-collar,m,secondary,no,489.0,yes,no,unknown,24.0,1.0,-1.0,0.0,unknown,152.0
35.0,management,m,tertiary,no,1095.0,yes,no,cellular,210.0,2.0,-1.0,0.0,unknown,322.0
40.0,services,m,secondary,no,278.0,yes,no,cellular,9.0,5.0,-1.0,0.0,unknown,137.0
37.0,admin.,m,secondary,no,641.0,yes,no,unknown,42.0,1.0,-1.0,0.0,unknown,155.0
32.0,technician,m,secondary,no,0.0,no,no,unknown,68.0,21.0,-1.0,0.0,unknown,152.0
28.0,student,s,secondary,no,0.0,yes,no,unknown,133.0,3.0,-1.0,0.0,unknown,134.0
46.0,admin.,m,secondary,no,368.0,no,no,cellular,293.0,1.0,90.0,4.0,other,231.0
54.0,housemaid,m,primary,no,136.0,no,no,cellular,92.0,2.0,-1.0,0.0,unknown,209.0
59.0,management,d,tertiary,no,3390.0,no,no,cellular,43.0,2.0,-1.0,0.0,unknown,209.0
53.0,blue-collar,m,secondary,no,2.0,yes,no,unknown,851.0,2.0,-1.0,0.0,unknown,135.0
40.0,blue-collar,m,primary,no,2495.0,yes,no,cellular,135.0,2.0,354.0,3.0,other,131.0
38.0,management,m,tertiary,no,0.0,yes,no,cellular,22.0,38.0,-1.0,0.0,unknown,237.0
25.0,management,s,tertiary,no,219.0,no,no,cellular,576.0,1.0,96.0,1.0,success,215.0
36.0,blue-collar,m,secondary,no,346.0,yes,no,unknown,202.0,1.0,-1.0,0.0,unknown,155.0
36.0,admin.,m,secondary,no,-118.0,yes,yes,unknown,263.0,2.0,-1.0,0.0,unknown,142.0
39.0,blue-collar,m,secondary,no,-99.0,no,no,cellular,260.0,1.0,-1.0,0.0,unknown,197.0
33.0,services,m,secondary,no,317.0,yes,no,cellular,141.0,4.0,201.0,1.0,other,32.0
25.0,blue-collar,s,secondary,no,150.0,yes,no,unknown,492.0,2.0,-1.0,0.0,unknown,155.0
37.0,blue-collar,s,secondary,no,2235.0,yes,no,cellular,419.0,2.0,151.0,2.0,failure,109.0
34.0,management,s,secondary,no,516.0,yes,no,cellular,292.0,2.0,-1.0,0.0,unknown,208.0
59.0,blue-collar,m,primary,no,754.0,no,no,cellular,225.0,4.0,-1.0,0.0,unknown,222.0
46.0,management,m,tertiary,no,5464.0,no,no,unknown,79.0,4.0,-1.0,0.0,unknown,170.0
53.0,unknown,m,secondary,no,16.0,no,no,unknown,100.0,1.0,-1.0,0.0,unknown,159.0
32.0,self-employed,m,secondary,no,-1668.0,yes,yes,cellular,166.0,6.0,-1.0,0.0,unknown,196.0
40.0,self-employed,d,tertiary,no,4647.0,yes,no,telephone,330.0,2.0,-1.0,0.0,unknown,127.0
34.0,blue-collar,m,primary,no,197.0,yes,no,cellular,181.0,1.0,-1.0,0.0,unknown,202.0
42.0,management,m,secondary,no,6526.0,no,no,cellular,133.0,2.0,399.0,3.0,failure,168.0
31.0,admin.,s,secondary,no,40.0,no,no,cellular,158.0,1.0,104.0,2.0,failure,215.0
30.0,technician,s,tertiary,no,53.0,no,no,cellular,155.0,1.0,184.0,1.0,success,302.0
25.0,student,s,secondary,no,486.0,no,no,cellular,273.0,3.0,199.0,4.0,failure,255.0
29.0,services,s,secondary,no,2099.0,yes,yes,unknown,171.0,2.0,-1.0,0.0,unknown,138.0
37.0,blue-collar,s,secondary,no,238.0,yes,no,unknown,200.0,2.0,-1.0,0.0,unknown,126.0
